0	406:1 
00	460:1 
000	442:1 460:1 464:3 477:1 
086	405:1 
098	467:1 
1	405:1 406:1 440:1 443:1 449:1 452:2 453:2 469:2 470:2 474:1 499:1 
10	446:2 452:1 477:1 492:1 499:1 
100	446:1 449:2 456:2 464:1 
100ms	420:1 
11	425:1 500:1 
11a	426:1 
11b	426:1 
11g	426:1 
12	421:1 
14	412:1 431:1 469:2 470:1 
140	482:1 
15	469:2 470:1 
1720	451:1 
1788	451:1 
18	467:1 
189	431:1 
1920s	409:1 
1929	410:2 
1963	413:1 414:1 
1965	409:1 410:1 
1980	416:1 
1980s	423:2 
1981	412:1 
1982	415:1 416:1 
1985	425:1 
1986	417:1 
1989	489:1 
199	459:1 
1990	427:1 
1991	423:2 426:1 489:1 
1996	456:2 
1999	423:2 429:1 457:1 
1mbps	426:1 
1st	472:1 
2	406:1 421:1 424:1 425:1 440:1 446:1 461:1 474:1 482:2 495:1 499:1 
2000	407:2 408:1 469:2 470:1 
2001	469:2 470:1 
2002	469:2 470:1 
2003	469:2 470:1 
2004	470:1 
2005	456:2 
2008	417:2 462:1 
2010	407:2 408:1 
2012	461:1 482:1 
2014	412:1 456:2 467:1 
2016	467:1 
2017	405:1 
2024	467:1 
20th	472:1 
22	432:1 
24	469:2 470:1 
25	469:2 470:1 492:1 
250	461:1 
252	460:1 
254	438:1 
279	460:1 
2mbps	426:1 
3	406:1 459:1 461:1 472:1 477:1 484:1 495:1 
3124	405:1 
319th	456:2 
34	435:1 
350	454:1 
38	438:1 
3826	405:1 
4	406:1 421:1 425:1 439:1 443:1 444:1 459:3 461:1 469:2 470:1 495:1 
40	405:1 
43	442:1 
45	435:1 455:1 
46	455:2 
487	417:1 
5	421:1 425:1 439:2 443:2 455:1 477:1 484:1 492:1 
50	472:1 477:1 
50s	475:2 
52	469:2 470:1 
540	417:1 
6	421:1 492:1 
60	439:1 443:1 
60s	475:2 
63	437:1 
667	492:1 
684th	456:2 
69	467:1 
7	434:1 438:1 461:1 
70	406:1 
730	492:1 
75	464:1 
79	405:1 
794	492:1 
8	405:1 430:1 482:1 495:1 
802	425:1 426:3 
819	431:1 
9	462:1 
90	464:1 
900	425:1 
ability	418:1 
able	424:1 
about	407:1 408:1 417:1 426:1 431:2 434:1 442:1 449:1 453:2 460:1 465:1 495:1 
above	406:2 470:1 494:1 498:1 
academic	461:1 
accent	419:1 
accepted	412:1 
access	420:1 
according	460:1 467:1 
accredited	466:1 
accross	444:1 
across	450:2 452:2 
acs	407:1 
acting	451:1 458:1 
activities	484:1 
actor	452:2 
actors	452:3 
actress	419:1 
actresses	452:2 
actual	409:1 
actually	434:1 455:2 466:1 
adam	453:1 
added	412:1 442:1 
adding	480:1 486:1 
address	442:1 445:1 448:1 
addresses	444:1 
administration	493:1 
advance	415:1 
advice	469:2 470:1 
affect	494:1 
after	466:1 474:2 485:1 498:1 
age	407:1 408:1 455:2 
agere	426:1 
ago	491:1 
ak	443:1 
al	439:1 443:1 
alabama	439:1 443:1 
alain	412:1 
alaska	443:1 
alex	449:1 453:2 
all	406:1 425:1 430:1 436:1 450:2 451:1 452:2 466:1 472:1 473:2 477:1 496:1 498:1 
allows	421:1 
almost	419:1 444:1 
alone	477:1 
alphanumeric	446:2 
already	474:2 
also	406:1 409:1 422:1 427:1 430:1 433:1 439:1 440:1 441:1 442:1 443:1 445:1 448:1 449:1 451:2 458:1 480:1 498:1 
alternate	410:1 423:1 
although	417:1 
always	472:1 478:2 
amazeballs	435:1 
ambassador	490:1 
america	442:1 493:1 
american	407:1 490:1 
amous	450:1 
anatomic	460:1 
anatomical	459:2 
ancient	454:1 455:2 
angus	454:1 
annual	460:1 464:1 467:1 471:2 
annually	464:1 
another	438:1 
answer	432:2 
answered	482:1 
any	406:2 445:1 474:1 
ap	420:1 422:2 
apart	495:2 
apparently	458:1 
appear	434:1 
appeared	409:1 474:1 
appearing	417:1 
applicable	406:1 
applications	424:1 
applied	470:1 473:2 
apply	469:2 470:1 471:4 472:4 475:1 478:4 
applying	472:1 475:2 478:2 
appropriate	463:1 
approximate	494:1 
apr	461:1 
aps	420:1 
arcs	412:1 
area	445:1 
areas	459:1 472:1 
aren	434:1 
arm	499:2 
armpit	500:2 
armstrongthe	454:1 
article	431:2 
asia	455:2 
assembling	479:1 
assist	442:1 
assistant	463:1 465:1 467:1 468:1 
